country_name,year,election_date,iso2c,elec_id,elec_id_old,source,version_dataset,download_link,data_access,bibtex_key,do_file,folder_name,file_name,drop,drop2,swght,dwght,pwght,region,vote,part,part2,pid,pid2,pid3,pid4,pid5,pid6,pid7,pid8,pid9,pid10,pid11,pid12,pid13,pid_any,pid_any2,l_vote,l_part,stfdem,male,age,age2,lr_self,lr_A,lr_A2,lr_B,lr_B2,lr_C,lr_C2,lr_D,lr_E,lr_F,lr_G,lr_H,lr_H2,lr_I,lr_I2,lr_I3,lr_J,lr_K,lr_L,lr_M,lr_N,lr_O,lr_P,lr_Q,lr_R,lr_S,lr_T,lr_U,lr_V,lr_W,lr_Z,like_A,like_A2,like_B,like_B2,like_C,like_C2,like_D,like_E,like_F,like_G,like_H,like_I,like_J,like_K,like_L,like_M,like_N,like_O,like_Q,like_W,like_V,like_Z
United Kingdom,2005,2005-05-05,GB,GB-2005-05,GB.2005,"British Election Study, 2005: Face-to-Face Survey [computer file]",2015,https://www.britishelectionstudy.com/data-object/2005-bes-post-election-survey/,2,NES_GB_2005,20201027_nes_recodes.do,gb2005,2005BESb.dta,version2,wave,,postwtbr,,,bq12b,bq12a,,,,,,,,,,,,,,,,,bq44,,bq65,bq76,bq77,,bq39a,bq39b,,bq39c,,bq39d,,,,bq39e,bq39f,,,,,,,,,,,,,,,,,,,,,cq22b,,cq22a,,cq22c,,cq22d,cq22e,cq22fsc,cq22fwa,,,,,,,,,,,,
United Kingdom,2010,2010-05-06,GB,GB-2010-05,GB.2010,"British Election Study, 2010: Face-to-Face Survey [computer file]",2015,https://www.britishelectionstudy.com/data-object/2010-bes-cross-section/,2,NES_GB_2010,20201027_nes_recodes.do,gb2010,2010BESprepost.dta,prepost,,,postwgt,,,bq12_2,bq12_1,,bq9_1,,,,,,,,,,,,,,,bq46_1,,bq61,bq88,bq89,,cq16b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cq23_1,,cq23_2,,cq23_3,,cq23_4,cq23_5,cq23_6,cq23_7s,cq23_7w,,,,,,,,,,,
United Kingdom,2015,2015-05-07,GB,GB-2015-05,GB.2015,CSES 4,2018,https://cses.org/data-download/module-4-2011-2016/,1,CSES4,20201027_cses_recodes.do,cses4,cses4.dta,D1004,,D1010_1,D1010_2,D1010_3,,D3006_LH_DC,D3005_LH,,D3018_3,,,,,,,,,,,,,D3018_1,D3018_2,D3008_LH_DC,D3007_LH,D3017,D2002,D2001_Y,,D3014,D3013_A,,D3013_B,,D3013_C,,D3013_D,D3013_E,D3013_F,D3013_G,,,,,,,,,,,,,,,,,,,,,D3011_A,,D3011_B,,D3011_C,,D3011_D,D3011_E,D3011_F,D3011_G,,,,,,,,,,,,
United Kingdom,2017,2017-06-08,GB,GB-2017-06,GB.2017,"British Election Study, 2017: Face-to-Face Survey [computer file]",1,https://www.britishelectionstudy.com/bes-resources/british-election-study-2017-face-to-face-survey-v1-0-release-note/,2,NES_GB_2017,20201027_nes_recodes.do,gb2017,bes_f2f_2017_v1.3.dta,,,,wt_demog,,,b02,b04,,d03,,,,,,,,,,,,,,,u05,,m01,y09,Age,,e01,q9_cses_1,,q9_cses_2,,q9_cses_3,,,,,,,,,,,,,,,,,,,,,,,,,,q11_cses_1,,q11_cses_2,,q11_cses_3,,,,,,,,,,,,,,,,,
United Kingdom,2019,2019-12-12,GB,GB-2019-12,,"British Election Study, 2019",1.0.0,,,NES_GB_2019,,gb2019,bes_rps_2019_1.0.0.dta,,,wt_sel_wt,wt_demog,wt_vote,,b02,b01,,d01,d03,,,,,,,,,,,,d02,,u05,,m01,y09,Age,,e01,Q9_CSES_1,,Q9_CSES_2,,Q9_CSES_3,,Q9_CSES_4,Q9_CSES_5,Q9_CSES_6,Q9_CSES_8,,,,,,,,,,,,,,,,,,,,,s01_2,,s01_1,,s01_3,,s01_6,s01_7,s01_5,s01_4,,,,,,,,,,,,
United States,1980,1980-11-04,US,US-1980-11,US.1980,ANES 1980 Time Series Study,3,https://www.icpsr.umich.edu/web/ICPSR/studies/7763,1,Miller2016c,20201027_nes_recodes_new_countries.do,us1980,NES1980.dta,,,,,,,V800994,V800988,,V800225,,,,,,,,,,,,,,,V800354,V800353,,V800720,V800408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V800169,,V800168,,V800170,,,,,,,,,,,,,,,,,
United States,1992,1992-11-03,US,US-1992-11,US.1992,ANES 1992 Time Series Study,3,https://www.icpsr.umich.edu/web/ICPSR/studies/6067,1,Miller2016b,20201027_nes_recodes_new_countries.do,us1992,NES1992.dta,,,,,,,V925609,V925601,V925608,V900319,,,,,,,,,,,,,,,V900167,V900166,,V924201,V923903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V900152,,V900151,,,,,,,,,,,,,,,,,,,
United States,1996,1996-11-05,US,US-1996-11,US.1996,ANES 1996 Time Series Study,6,https://www.icpsr.umich.edu/web/ICPSR/studies/6896/versions/V6/summary,1,Rosenstone2016,20201027_nes_recodes_new_countries.do,us1996,nes96.dta,,,,,,,V961082,V961074,,V961462,,,,,,,,,,,,,V961461,,V960204,V960203,V961459,V960066,V960605,,V961484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V960292,,V960293,,,,,,,,,,,,,,,,,,,
United States,2000,2000-11-07,US,US-2000-11,US.2000,ANES 2000 Time Series Study,4,https://www.icpsr.umich.edu/web/ICPSR/studies/3131,1,Burns2016,20201027_nes_recodes_new_countries.do,us2000,anes2000TS.dta,V000003,,,,,,V001249,V001241,V001248,V000522,,,,,,,,,,,,,,,V000304,V000303,V001651,V001029,V000908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V000370,,V000369,,,,,,,,,,,,,,,,,,,
United States,2004,2004-11-02,US,US-2004-11,US.2004,CSES 2,2015,https://cses.org/data-download/cses-module-2-2001-2006/,1,CSES2,20201027_cses_recodes.do,cses2,cses2.dta,B1004,,B1010_1,B1010_2,B1010_3,,B3005_1,B3004_1,,B3029_1,B3035,,,,,,,,,,,,B3028,B3034,B3017,B3016,B3012,B2002,B2001,,B3045,B3038_A,,B3038_B,,B3038_C,,,,,,,,,,,,,,,,,,,,,,,,,,B3037_A,,B3037_B,,B3037_C,,,,,,,,,,,,,,,,,
United States,2008,2008-11-04,US,US-2008-11,US.2008,ANES 2008,1,https://electionstudies.org/data-center/2008-time-series-study/,1,ANES2008,,us2008,anes_timeseries_2008.dta,V080102a,,,,V080102a,,V085044a,V085044,,V085185a,,,,,,,,,,,,,V085185,,V083007a,V083007,V085194,V081101,V083215a,,V085191,V085189a,,V085189b,,,,,,,,,,,,,,,,,,,,,,,,,,,,V085187a,,V085187b,,,,,,,,,,,,,,,,,,,
United States,2012,2012-11-06,US,US-2012-11,US.2012,CSES 4,2018,https://cses.org/data-download/module-4-2011-2016/,1,CSES4,20201027_cses_recodes.do,cses4,cses4.dta,D1004,,D1010_1,D1010_2,D1010_3,,D3006_PR_1,D3005_PR_1,,D3018_3,,,,,,,,,,,,,D3018_1,D3018_2,D3008_PR_1,D3007_PR_1,D3017,D2002,D2001_Y,,D3014,D3013_A,,D3013_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,D3011_A,,D3011_B,,,,,,,,,,,,,,,,,,,
United States,2016,2016-11-08,US,US-2016-11,US.2016,CSES 5,2020,https://cses.org/data-download/cses-module-5-2016-2021/,1,CSES5,20201027_cses_recodes.do,cses5,cses5.dta,E1004,,E1010_1,E1010_2,E1010_3,,E3013_PR_1,E3012_PR_1,,E3024_3,,,,,,,,,,,,,E3024_1,E3024_2,E3015_PR_1,E3014_PR_1,E3023,E2002,E2001_Y,,E3020,E3019_A,,E3019_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,E3017_A,,E3017_B,,,,,,,,,,,,,,,,,,,
